title,date_reprise,date_sortie,duration,director,actors,genre,nationality,press_rating,nb_press,spec_rating,nb_spec
Rose,2021,8 décembre 2021,1h43min,"['Yaël Langmann', 'Aurélie Saada']","['Françoise Fabian', 'Aure Atika', 'Grégory Montel']","['Drame,', 'Comédie']",['français'],"3,6",18,"3,4",335
Princesse Dragon,2021,15 décembre 2021,1h14min,"['Jean-Jacques Denis', 'Anthony Roux']","['Lila Lacombe', 'Kaycie Chase', 'Jérémie Covillault']",['Animation'],['français'],"3,4",15,"3,8",78
Aline,2020,10 novembre 2021,2h06min,"['Valérie Lemercier', 'Brigitte Buc']","['Valérie Lemercier', 'Sylvain Marcel', 'Danielle Fichaud']","['Drame,', 'Biopic,', 'Musical']","['français,', 'canadien,', 'belge']","4,1",35,"4,0",3545
Dune,2021,15 septembre 2021,2h36min,"['Jon Spaihts', 'Denis Villeneuve']","['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac']","['Science', 'fiction,', 'Drame']",['américain'],"4,0",40,"4,3",15356
Les Amants sacrifiés,2020,8 décembre 2021,1h55min,"['Ryusuke Hamaguchi', 'Tadashi Nohara']","['Yû Aoi', 'Issey Takahashi', 'Masahiro Higashide']","['Drame,', 'Historique']",['japonais'],"3,9",23,"3,6",418
La Main de Dieu,2021,15 décembre 2021,2h14min,['Paolo Sorrentino'],"['Filippo Scotti', 'Toni Servillo', 'Teresa Saponangelo']","['Drame,', 'Biopic']",['italien'],"3,6",17,"3,7",374
The Lost Daughter,2021,31 décembre 2021,2h02min,"['Maggie Gyllenhaal', 'Elena Ferrante']","['Olivia Colman', 'Jessie Buckley', 'Dakota Johnson']",['Drame'],"['américain,', 'grec']","3,4",17,"2,9",283
The Chef,2021,19 janvier 2022,1h34min,"['Philip Barantini', 'James Cummings']","['Stephen Graham', 'Vinette Robinson', 'Jason Flemyng']","['Thriller,', 'Drame']",['britannique'],nan,nan,nan,nan
xXx,2002,9 octobre 2002,2h04min,['Rich Wilkes'],"['Vin Diesel', 'Samuel L. Jackson', 'Asia Argento']","['Action,', 'Thriller,', 'Aventure']",['américain'],"3,4",21,"2,3",10699
Une femme du monde,2020,8 décembre 2021,1h35min,['Cécile Ducrocq'],"['Laure Calamy', 'Nissim Renard', 'Béatrice Facquer']",['Drame'],['français'],"3,6",25,"3,8",423
La Croisade,2021,22 décembre 2021,1h06min,"['Louis Garrel', 'Jean-Claude Carrière']","['Lionel Dray', 'Laetitia Casta', 'Joseph Engel']",['Comédie'],['français'],"3,3",22,"2,2",142
Les Eternels,2021,3 novembre 2021,2h37min,"['Chloé Zhao', 'Patrick Burleigh']","['Gemma Chan', 'Richard Madden', 'Salma Hayek']","['Science', 'fiction,', 'Fantastique,', 'Action']",['américain'],"2,9",30,"3,6",5057
L'Evénement,2021,24 novembre 2021,1h40min,"['Audrey Diwan', 'Marcia Romano']","['Anamaria Vartolomei', 'Kacey Mottet Klein', 'Luàna Bajrami']",['Drame'],['français'],"4,1",33,"4,1",1063
