name,time,value,unit_of_measurement,physical_measurement,subsystem,equipment,logical_id,towards_equipment,direction,control_status,computation_time,computation_interval,deviceId,time_year,time_month,time_dayofmonth
B_MODE,2023-01-20T14:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T15:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T15:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T16:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T16:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T17:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T17:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T18:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T18:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T19:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T19:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T20:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T20:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T21:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T21:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T22:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T22:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T23:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-20T23:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,20
B_MODE,2023-01-21T00:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T00:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T01:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T01:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T02:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T02:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T03:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T03:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T04:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T04:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T05:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T05:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T06:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T06:30:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
B_MODE,2023-01-21T07:00:00Z,2,noUnits,multistates,HeatPump,HeatPump,3,,,Status,2023-03-05T21:07:00Z,PT1H,20210301-audioptic-clamart,2023,1,21
